year,station,women_expression_rate
2016,RTL 2,41.79833778972801
2017,RTL 2,43.2456506341513
2018,RTL 2,44.26168230785402
2019,RTL 2,45.73666968507612
2009,Radio Classique,41.74347630235187
2010,Radio Classique,46.3716120620806
2011,Radio Classique,40.13142921100432
2012,Radio Classique,39.71212006083773
2013,Radio Classique,39.30199677250901
2014,Radio Classique,36.36833601875193
2015,Radio Classique,35.72504431639081
2016,Radio Classique,36.225667771886144
2017,Radio Classique,34.34968716836225
2018,Radio Classique,36.354800511484285
2019,Radio Classique,38.67254741335386
2009,Rire et Chansons,23.94508177212608
2010,Rire et Chansons,27.43692756303904
2011,Rire et Chansons,25.5693183492657
2012,Rire et Chansons,25.677300245509183
2013,Rire et Chansons,27.107276659962288
2014,Rire et Chansons,24.922992410929997
2015,Rire et Chansons,26.313595560040003
2016,Rire et Chansons,26.681387871725757
2017,Rire et Chansons,27.2503635034477
2018,Rire et Chansons,26.21352398800536
2019,Rire et Chansons,25.63334650039903
2001,Skyrock,18.28415949068026
2002,Skyrock,18.91632559094845
2003,Skyrock,18.795643039554346
2004,Skyrock,17.614834713633126
2005,Skyrock,18.17789463257266
2006,Skyrock,20.04539220639501
2007,Skyrock,20.13689204828235
2008,Skyrock,18.698902534280545
2009,Skyrock,18.39069899698476
2010,Skyrock,18.31114610163962
2011,Skyrock,17.086314651842972
2012,Skyrock,16.315819039724047
2013,Skyrock,16.719204555265062
2014,Skyrock,16.208562986752323
2015,Skyrock,15.502532662385333
2016,Skyrock,14.444457938519284
2017,Skyrock,15.687847041730926
2018,Skyrock,15.509622858657105
2019,Skyrock,14.9102143383857
2012,Sud Radio,21.956261661133013
2013,Sud Radio,25.723557197752733
2014,Sud Radio,27.30237876051602
2015,Sud Radio,28.881287743545613
2016,Sud Radio,31.907794707346294
2017,Sud Radio,32.56335742737658
2018,Sud Radio,32.79782941095392
2019,Sud Radio,32.47137919938138
2008,Virgin Radio,22.387480697002324
2009,Virgin Radio,25.85674590641931
2010,Virgin Radio,30.115225793951485
2011,Virgin Radio,26.630776941279397
2012,Virgin Radio,25.111303298008785
2013,Virgin Radio,30.310144280587902
2014,Virgin Radio,31.475981512125795
2015,Virgin Radio,27.82073568970922
2016,Virgin Radio,26.62300900212076
2017,Virgin Radio,24.99282731839586
2018,Virgin Radio,24.19564278911209
2019,Virgin Radio,28.2381532541083
