media_type,media_name,year,women_expression_rate
radio,RTL 2,2007,38.28493128652301
radio,RTL 2,2008,43.20330209880645
radio,RTL 2,2009,43.33932234832236
radio,RTL 2,2010,43.91122699047133
radio,RTL 2,2011,47.79583293026206
radio,RTL 2,2012,47.7599003025203
radio,RTL 2,2013,46.27978046399612
radio,RTL 2,2014,44.310358777016006
radio,RTL 2,2015,44.71229154246779
radio,RTL 2,2016,41.79833778972801
radio,RTL 2,2017,43.2456506341513
radio,RTL 2,2018,44.26168230785402
radio,RTL 2,2019,45.73666968507612
radio,Radio Classique,2009,41.74347630235187
radio,Radio Classique,2010,46.3716120620806
radio,Radio Classique,2011,40.13142921100432
radio,Radio Classique,2012,39.71212006083773
radio,Radio Classique,2013,39.30199677250901
radio,Radio Classique,2014,36.36833601875193
radio,Radio Classique,2015,35.72504431639081
radio,Radio Classique,2016,36.225667771886144
radio,Radio Classique,2017,34.34968716836225
radio,Radio Classique,2018,36.354800511484285
radio,Radio Classique,2019,38.67254741335386
radio,Rire et Chansons,2009,23.94508177212608
radio,Rire et Chansons,2010,27.43692756303904
radio,Rire et Chansons,2011,25.5693183492657
radio,Rire et Chansons,2012,25.677300245509183
radio,Rire et Chansons,2013,27.107276659962288
radio,Rire et Chansons,2014,24.92299241093
radio,Rire et Chansons,2015,26.313595560040003
radio,Rire et Chansons,2016,26.68138787172576
radio,Rire et Chansons,2017,27.2503635034477
radio,Rire et Chansons,2018,26.21352398800536
radio,Rire et Chansons,2019,25.63334650039903
radio,Skyrock,2001,18.28415949068026
radio,Skyrock,2002,18.91632559094845
radio,Skyrock,2003,18.795643039554346
radio,Skyrock,2004,17.614834713633126
radio,Skyrock,2005,18.17789463257266
radio,Skyrock,2006,20.04539220639501
radio,Skyrock,2007,20.13689204828235
radio,Skyrock,2008,18.698902534280545
radio,Skyrock,2009,18.39069899698476
radio,Skyrock,2010,18.31114610163962
radio,Skyrock,2011,17.086314651842972
radio,Skyrock,2012,16.315819039724047
radio,Skyrock,2013,16.719204555265062
radio,Skyrock,2014,16.208562986752323
radio,Skyrock,2015,15.502532662385333
radio,Skyrock,2016,14.444457938519284
radio,Skyrock,2017,15.687847041730926
radio,Skyrock,2018,15.509622858657105
radio,Skyrock,2019,14.9102143383857
radio,Sud Radio,2012,21.956261661133013
radio,Sud Radio,2013,25.723557197752733
radio,Sud Radio,2014,27.30237876051602
radio,Sud Radio,2015,28.881287743545613
radio,Sud Radio,2016,31.90779470734629
radio,Sud Radio,2017,32.56335742737658
radio,Sud Radio,2018,32.79782941095392
radio,Sud Radio,2019,32.47137919938138
radio,Virgin Radio,2008,22.387480697002324
radio,Virgin Radio,2009,25.85674590641931
radio,Virgin Radio,2010,30.115225793951485
radio,Virgin Radio,2011,26.6307769412794
radio,Virgin Radio,2012,25.111303298008785
radio,Virgin Radio,2013,30.310144280587902
radio,Virgin Radio,2014,31.475981512125795
radio,Virgin Radio,2015,27.82073568970922
radio,Virgin Radio,2016,26.62300900212076
radio,Virgin Radio,2017,24.99282731839586
radio,Virgin Radio,2018,24.19564278911209
radio,Virgin Radio,2019,28.2381532541083
tv,ARTE,2010,28.142902344571496
tv,ARTE,2011,28.066214715552302
tv,ARTE,2012,29.943391866982537
tv,ARTE,2013,27.587263045168143
tv,ARTE,2014,29.091073469905787
tv,ARTE,2015,28.28387072896389
tv,ARTE,2016,28.25792089563048
tv,ARTE,2017,29.86024068755448
tv,ARTE,2018,31.1489534647153
tv,ARTE,2019,32.8164656046445
tv,Animaux,2010,25.90757253463454
tv,Animaux,2011,31.552512597041616
tv,Animaux,2012,34.93134825046644
tv,Animaux,2013,33.73874583861331
tv,Animaux,2014,33.90868510423651
tv,Animaux,2015,36.77573977300372
tv,Animaux,2016,36.56472560881775
tv,Animaux,2017,37.68176151651506
tv,Animaux,2018,40.99981927314211
tv,Animaux,2019,38.53242393030715
tv,BFM TV,2010,38.657280543057546
tv,BFM TV,2011,36.92473806835565
tv,BFM TV,2012,35.41850320222516
tv,BFM TV,2013,35.81155320704737
tv,BFM TV,2014,33.31911666090571
tv,BFM TV,2015,33.62418908900725
tv,BFM TV,2016,35.63226003561944
tv,BFM TV,2017,36.05572270094781
tv,BFM TV,2018,36.99559666529718
tv,BFM TV,2019,34.23135499531699
tv,Canal+,2010,21.51190904161979
tv,Canal+,2011,22.158304388849643
tv,Canal+,2012,22.350215675848027
tv,Canal+,2013,23.414536181895937
tv,Canal+,2014,22.12367299237239
tv,Canal+,2015,21.536859698528914
tv,Canal+,2016,22.0995672361379
tv,Canal+,2017,22.01619694490687
tv,Canal+,2018,22.485153691737544
tv,Canal+,2019,22.70213656101075
tv,Canal+ Sport,2010,5.972954239380663
tv,Canal+ Sport,2011,5.532296190431669
tv,Canal+ Sport,2012,5.211815278454215
tv,Canal+ Sport,2013,4.9443778442181845
tv,Canal+ Sport,2014,5.095775628337789
tv,Canal+ Sport,2015,4.912640341606156
tv,Canal+ Sport,2016,4.838224987026434
tv,Canal+ Sport,2017,4.813465984423973
tv,Canal+ Sport,2018,5.137714741650995
tv,Canal+ Sport,2019,5.136650864163029
tv,Chasse et pêche,2010,7.191762448544618
tv,Chasse et pêche,2011,8.144226877239982
tv,Chasse et pêche,2012,7.018203540222437
tv,Chasse et pêche,2013,10.09888375973494
tv,Chasse et pêche,2014,10.310288596580266
tv,Chasse et pêche,2015,9.1497518738192
tv,Chasse et pêche,2016,7.258912521098098
tv,Chasse et pêche,2017,9.108982132264543
tv,Chasse et pêche,2018,11.774427136755584
tv,Chasse et pêche,2019,12.045818606364929
tv,Chérie 25,2013,48.294389434096
tv,Chérie 25,2014,48.91754597219619
tv,Chérie 25,2015,37.3290454135079
tv,Chérie 25,2016,41.837747247004245
tv,Chérie 25,2017,41.67980215473349
tv,Chérie 25,2018,39.983769271327006
tv,Chérie 25,2019,39.85225212210074
tv,Comédie+,2010,29.579478405274216
tv,Comédie+,2011,28.137377593981626
tv,Comédie+,2012,31.90628204885429
tv,Comédie+,2013,29.255711371437528
tv,Comédie+,2014,31.63788245441384
tv,Comédie+,2015,29.697663464910995
tv,Comédie+,2016,28.513473151209585
tv,Comédie+,2017,26.18616224704205
tv,Comédie+,2018,28.367153032273382
tv,Comédie+,2019,33.66962522806119
tv,D8/C8,2013,27.81451479583401
tv,D8/C8,2014,31.14989815360672
tv,D8/C8,2015,27.52428421354578
tv,D8/C8,2016,26.15435137561892
tv,D8/C8,2017,27.295338091357607
tv,D8/C8,2018,28.3769902073018
tv,D8/C8,2019,29.815084489420546
tv,Euronews,2010,34.228341588704545
tv,Euronews,2011,30.681695594316054
tv,Euronews,2012,30.61316456008134
tv,Euronews,2013,36.71865967351382
tv,Euronews,2014,37.61037099669075
tv,Euronews,2015,35.39343354962911
tv,Euronews,2016,30.95794547236568
tv,Euronews,2017,31.580819596300497
tv,Euronews,2018,34.89162555702699
tv,Euronews,2019,35.70667939178433
tv,Eurosport France,2010,6.957224029147804
tv,Eurosport France,2011,7.395577437648261
tv,Eurosport France,2012,8.083346257603727
tv,Eurosport France,2013,8.884800075111714
tv,Eurosport France,2014,7.861017549127832
tv,Eurosport France,2015,7.801830722783509
tv,Eurosport France,2016,8.012118788909232
tv,Eurosport France,2017,5.595861852588684
tv,Eurosport France,2018,5.617468543657603
tv,Eurosport France,2019,9.858520804381008
tv,France 2,2010,28.456111604983025
tv,France 2,2011,30.60460090113992
tv,France 2,2012,33.44531070623485
tv,France 2,2013,34.886430445098306
tv,France 2,2014,35.0795758950855
tv,France 2,2015,36.21095447112758
tv,France 2,2016,33.92145412835245
tv,France 2,2017,36.41515787899744
tv,France 2,2018,37.24429925353736
tv,France 2,2019,38.918406967043744
tv,France 24,2011,43.79999051786408
tv,France 24,2012,45.018032863354094
tv,France 24,2013,43.82043031788675
tv,France 24,2014,44.99147959145337
tv,France 24,2015,44.44838479357293
tv,France 24,2016,45.9338159004074
tv,France 24,2017,44.64361657109559
tv,France 24,2018,45.99064159398676
tv,France 24,2019,47.917399538024654
tv,France 3,2010,29.84379653499637
tv,France 3,2011,30.01198827972812
tv,France 3,2012,30.32065046860196
tv,France 3,2013,30.750683911432112
tv,France 3,2014,30.01244270187177
tv,France 3,2015,30.12688868732587
tv,France 3,2016,32.63479635381367
tv,France 3,2017,34.991187386781206
tv,France 3,2018,35.37314449879114
tv,France 3,2019,35.906998140221205
tv,France 5,2010,26.89662044352829
tv,France 5,2011,26.959951635780605
tv,France 5,2012,28.674699258314888
tv,France 5,2013,28.6796687480878
tv,France 5,2014,30.77828995796062
tv,France 5,2015,31.89270112964359
tv,France 5,2016,34.47426581462924
tv,France 5,2017,35.217927407596044
tv,France 5,2018,36.09154361876181
tv,France 5,2019,37.28189905165348
tv,France O,2010,31.723482974703813
tv,France O,2011,34.22439897244679
tv,France O,2012,35.9199672072171
tv,France O,2013,37.5408661639612
tv,France O,2014,34.015039447903014
tv,France O,2015,31.64152482600072
tv,France O,2016,31.02635734189154
tv,France O,2017,33.297872610345976
tv,France O,2018,35.106503585598
tv,France O,2019,37.365873322750886
tv,Histoire,2011,16.264416111241175
tv,Histoire,2012,16.404075284475752
tv,Histoire,2013,15.5173510767466
tv,Histoire,2014,18.60096048263929
tv,Histoire,2015,20.626347674650297
tv,Histoire,2016,16.134625853349664
tv,Histoire,2017,21.07237554127373
tv,Histoire,2018,24.12733665367189
tv,Histoire,2019,24.14199875586385
tv,I-Télé/CNews,2010,38.460709798007045
tv,I-Télé/CNews,2011,39.7197062542852
tv,I-Télé/CNews,2012,37.28203143524295
tv,I-Télé/CNews,2013,34.46458196847565
tv,I-Télé/CNews,2014,34.21705188654999
tv,I-Télé/CNews,2015,35.194313306282474
tv,I-Télé/CNews,2016,33.70378604050557
tv,I-Télé/CNews,2017,29.2409573794362
tv,I-Télé/CNews,2018,30.431046673671524
tv,I-Télé/CNews,2019,31.2610621817268
tv,L'Equipe 21,2013,22.96172536818072
tv,L'Equipe 21,2014,22.609735991651515
tv,L'Equipe 21,2015,14.67981642582165
tv,L'Equipe 21,2016,9.891840224452643
tv,L'Equipe 21,2017,12.813498000039145
tv,L'Equipe 21,2018,12.936566161270946
tv,L'Equipe 21,2019,14.277578618314168
tv,LCI,2010,32.62084196681204
tv,LCI,2011,33.67961593605219
tv,LCI,2012,32.638833689107344
tv,LCI,2013,33.47618627632621
tv,LCI,2014,33.23224773266632
tv,LCI,2015,36.860963104914745
tv,LCI,2016,34.94381262745534
tv,LCI,2017,32.2129981933496
tv,LCI,2018,31.679395716828807
tv,LCI,2019,31.04590733176701
tv,LCP/Public Sénat,2010,25.256254313885066
tv,LCP/Public Sénat,2011,26.80147717670789
tv,LCP/Public Sénat,2012,29.13367399327076
tv,LCP/Public Sénat,2013,27.91827987378992
tv,LCP/Public Sénat,2014,29.55933234513041
tv,LCP/Public Sénat,2015,30.98031758269211
tv,LCP/Public Sénat,2016,30.328369024613067
tv,LCP/Public Sénat,2017,31.39197795186572
tv,LCP/Public Sénat,2018,34.35828582681636
tv,LCP/Public Sénat,2019,33.920288438753026
tv,La chaîne Météo,2010,31.1698082315849
tv,La chaîne Météo,2011,27.034462692571505
tv,La chaîne Météo,2012,27.77140474415442
tv,La chaîne Météo,2013,18.42160288370665
tv,La chaîne Météo,2014,13.064368215145022
tv,La chaîne Météo,2015,13.614501475083967
tv,La chaîne Météo,2016,14.955341194795489
tv,La chaîne Météo,2017,16.771740153016896
tv,La chaîne Météo,2018,14.202462714074368
tv,La chaîne Météo,2019,13.714682401351098
tv,M6,2010,39.40278529924919
tv,M6,2011,39.040332951107935
tv,M6,2012,40.64356763937142
tv,M6,2013,40.7081581138044
tv,M6,2014,41.17379630893965
tv,M6,2015,40.63813091743655
tv,M6,2016,41.22403703972862
tv,M6,2017,43.59281087936905
tv,M6,2018,42.196399790751926
tv,M6,2019,43.684264132999736
tv,Monte Carlo TMC,2010,28.543801572469047
tv,Monte Carlo TMC,2011,29.445112717342425
tv,Monte Carlo TMC,2012,30.30436119243677
tv,Monte Carlo TMC,2013,30.813337990042232
tv,Monte Carlo TMC,2014,30.318944045221453
tv,Monte Carlo TMC,2015,28.79545184635285
tv,Monte Carlo TMC,2016,29.38568716205609
tv,Monte Carlo TMC,2017,30.08563275215
tv,Monte Carlo TMC,2018,31.683620289082693
tv,Monte Carlo TMC,2019,32.945299090403935
tv,NRJ 12,2010,30.924828451550805
tv,NRJ 12,2011,27.40061903474688
tv,NRJ 12,2012,32.673525889586216
tv,NRJ 12,2013,30.67470725865372
tv,NRJ 12,2014,35.24455770860689
tv,NRJ 12,2015,33.06013299617276
tv,NRJ 12,2016,33.924960099185384
tv,NRJ 12,2017,35.453065904643694
tv,NRJ 12,2018,35.314814987129125
tv,NRJ 12,2019,31.217332712983698
tv,Paris Première,2010,24.8360790899738
tv,Paris Première,2011,25.52125150358215
tv,Paris Première,2012,21.008999527687987
tv,Paris Première,2013,22.519630030542427
tv,Paris Première,2014,22.321417699181715
tv,Paris Première,2015,21.017236450710435
tv,Paris Première,2016,22.51810601170466
